Metric,Metric Value
Accuracy,0.705697622252131
Weighted Precision,0.6910275119872749
Weighted Recall Value,0.7056976222521311
Weighted F1 Measure,0.6962621644373693
Weighted FPR,0.29263815333733506
Weighted TPR,0.7056976222521311
